Red,
Jasola Vihar Shaheen Bagh,28.4,
Kalindi Kunj,29.8,
Okhla Bird Sanctuary,31.4,
Botanical Garden,33.1,Blue,
Pink,
Majlis Park,0.0,
Azadpur,2.1,Yellow,
Shalimar Bagh,3.7,
Netaji Subash Place,5.1,Red,
Shakurpur,6.3,
Punjabi Bagh West,7.7,
ESI BASAI DARAPUR,10.2,
Rajouri Garden,11.3,Blue,
Maya Puri,12.8,
Naraina Vihar,14.3,
Delhi Cantt,16.1,
Durgabai Deshmukh South Campus,19.7,Orange,
Sir Vishweshwaraiah Moti Bagh,21.0,
Bhikaji Cama Place,22.6,
Sarojini Nagar,23.8,
Dilli Haat INA,24.9,Yellow,
South Extension,26.1,
Lajpat Nagar,27.7,Violet,
Vinobapuri,29.1,
Ashram,30.3,
Sarai Kale Khan Hazrat Nizamuddin,32.2,
Mayur Vihar Phase-1,35.8,Blue,
Mayur Vihar Pocket I,36.6,
Trilokpuri Sanjay Lake,37.9,
Vinod Nagar East,38.7,
Mandawali - West Vinod Nagar,39.3,
IP Extension,40.3,
Anand Vihar,41.9,Blue,
Karkar Duma,42.9,Blue,
Karkarduma Court,44.0,
Krishna Nagar,44.7,
East Azad Nagar,45.7,
Welcome,46.8,Red,
Jaffrabad,48.0,
Maujpur,49.1,
Gokulpuri,50.4,
Johri Enclave,51.7,
Shiv Vihar,52.6,
Blue,
Yamuna Bank,0.0,
Laxmi Nagar,1.3,
Nirman Vihar,2.4,
Preet Vihar,3.4,
Karkar Duma,4.6,Pink,
Anand Vihar,5.7,Pink,
Kaushambi,6.5,
Vaishali,8.1,
Green,
Ashok Park Main,0.0,
Satguru Ram Singh Marg,1.1,
Kirti Nagar,2.1,Blue,
Aqua,
Noida Sector 51,0.0,Blue,
Noida Sector 50,1.3,
Noida Sector 76,2.3,
Noida Sector 101,3.4,
Noida Sector 81,4.3,
NSEZ Noida,6.3,
Noida Sector 83,7.4,
Noida Sector 137,8.9,
Noida Sector 142,10.5,
Noida Sector 143,11.5,
Noida Sector 144,12.9,
Noida Sector 145,14.1,
Noida Sector 146,15.8,
Noida Sector 147,17.3,
Noida Sector 148,18.9,
Knowledge Park II,21.4,
Pari Chowk  Greater Noida,22.5,
Alpha 1  Greater Noida,23.4,
Delta 1 Greater Noida,24.9,
GNIDA Office,26.2,
Depot Greater Noida,27.1,
Gray,
Dwarka,0.0,Blue,
Nangli,1.5,
Najafgarh,3.9,
